Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level,AdvisoryLevelDescription,Contact_Organization,County,Landmark,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name,DetailStaticText,Bloom_Longitude_Corrected,Bloom_Latitude
Last verified >90 days ago,12/8/22,Floating/planktonic bloom observed,"Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",5/12/2022 10:32:38 AM,3282,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Alameda,Boat launch,1/6/2022 12:00:00 AM,East Bay Regional Park District,Region 5 - Central Valley,,Big Break Regional Shoreline,Detail,-121.72854,38.01234
Last verified >90 days ago,4/15/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,1/7/2022 12:00:00 AM,3113,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Alameda,,12/29/2021 12:00:00 AM,East Bay Regional Park District,Region 2 - San Francisco Bay,Unknown,Lake Del Valle,Detail,-121.70371,37.58644
Last verified >90 days ago,12/29/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",7/1/2022 11:53:07 AM,3509,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Alameda,Lake Del Valle East Beach,6/27/2022 12:00:00 AM,,Region 2 - San Francisco Bay,,Lake Del Valle,Detail,-121.70048,37.58468
Last verified >90 days ago,11/22/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",7/1/2022 11:47:34 AM,3508,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Alameda,Lake Del Valle West Beach,7/27/2022 12:00:00 AM,,Region 2 - San Francisco Bay,,Lake Del Valle,Detail,-121.69350,37.57764
Last verified >90 days ago,9/16/22,Advisory based on visual and toxins; Suspected illness reported,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.",9/16/2022 10:31:24 AM,3726,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,R2,Alameda,Lake Merritt Ampitheater,8/29/2022 12:00:00 AM,City Department,Region 2 - San Francisco Bay,City Department,Lake Merritt,Detail,-122.26149,37.79952
Last verified >90 days ago,8/30/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,6/29/2022 11:08:05 AM,3493,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Alameda,Lake Merritt at beach south of Edoff Memorial Bandstand,6/20/2022 12:00:00 AM,City Department,Region 2 - San Francisco Bay,,Lake Merritt,Detail,-122.26050,37.80669
Last verified >90 days ago,9/16/22,Advisory based on visual and toxins; Suspected illness reported,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.",6/29/2022 11:11:56 AM,3494,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CA Water Boards,Alameda,Lake Merritt at Lakeshore Ave. near Boden Way,6/20/2022 12:00:00 AM,City Department,Region 2 - San Francisco Bay,,Lake Merritt,Detail,-122.25015,37.80713
Last verified >90 days ago,9/16/22,Advisory based on visual and toxins; Suspected illness reported,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.",8/25/2022 8:49:14 AM,3657,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,R2,Alameda,Lake Merritt Boating Center,8/24/2022 12:00:00 AM,,Region 2 - San Francisco Bay,,Lake Merritt,Detail,-122.25747,37.80501
Last verified >90 days ago,8/8/22,Lake-wide advisory; Marine bloom present (red tide),"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards agency recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to https://tinyurl.com/HABReport1. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.",8/5/2022 12:28:33 PM,3609,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,City of Oakland Public Works,Alameda,Lake Merritt shoreline between 1200 and 1400 Lakeshore Avenue,8/5/2022 12:00:00 AM,City Department,Region 2 - San Francisco Bay,City Department,Lake Merritt,Detail,-122.25843,37.79968
Last verified >90 days ago,5/19/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,5/12/2022 9:54:34 AM,3280,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Private Citzen,Alameda,Near Light Post 82 and Cleveland Cascade at Lake Shore Ave.,4/25/2022 12:00:00 AM,,Region 2 - San Francisco Bay,Other,Lake Merritt,Detail,-122.25014,37.80714
