County,Water_Body_Name,Landmark,Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level,AdvisoryLevelDescription,Contact_Organization,County,Landmark,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name,DetailStaticText,Bloom Longitude Corrected,Bloom_Latitude
Alameda,Berkeley Aquatic Park,aquatic park,Last verified >90 days ago,7/31/2023,Marine bloom suspected (red tide); Under investigation,"Marine bloom or “red tide” are suspected in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. Until water monitoring results are provided to confirm presence of red tide in this area, we recommend people and pets avoid contact with the water during times of any water discoloration or dense blooms in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system.   This report is under investigation.",2/9/2023 17:26,4055,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Regional Water Board,Alameda,aquatic park,2/7/2023 0:00,,Region 2 - San Francisco Bay,,Berkeley Aquatic Park,Detail,-122.30051,37.86164
Alameda,Berkeley Aquatic Park,Southwest shorline of Berkeley Aquatic Park,Last verified >90 days ago,8/28/2023,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/10/2023 12:32,4092,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Dept of Water Resources,Alameda,Southwest shorline of Berkeley Aquatic Park,5/8/2023 0:00,,Region 2 - San Francisco Bay,,Berkeley Aquatic Park,Detail,-122.29870,37.85192
Alameda,Lake Chabot,Lake Chabot,Last verified >90 days ago,2/13/2023,Suspected illness reported; Under investigation,"Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.  This report is under investigation.",2/13/2023 11:24,4060,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,"OEHHA, PETB",Alameda,Lake Chabot,2/11/2023 0:00,,Region 2 - San Francisco Bay,,Lake Chabot,Detail,-122.11221,37.72695
Alameda,Lake Merritt,Lake Merritt at Bandstand Beach,Last verified >90 days ago,9/7/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",9/7/2023 8:06,4378,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Rotary Nature Center Friends,Alameda,Lake Merritt at Bandstand Beach,8/29/2023 0:00,,Region 2 - San Francisco Bay,,Lake Merritt,Detail,-122.26086,37.80660
Alameda,Redwood Creek,Redwood Creek near intersection of Chown Trail and Stream Trail,Last verified >90 days ago,6/15/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",6/15/2023 8:58,4162,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Alameda,Redwood Creek near intersection of Chown Trail and Stream Trail,6/5/2023 0:00,,Region 2 - San Francisco Bay,,Redwood Creek,Detail,-122.16083,37.81503
Alameda,"San Francisco Bay, Central",Berkeley Marina,Last verified >90 days ago,8/1/2023,Marine bloom present (red tide),"Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards agency recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to https://tinyurl.com/HABReport1. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.",7/31/2023 13:14,4298,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,City of Berkeley,Alameda,Berkeley Marina,7/28/2023 0:00,,Region 2 - San Francisco Bay,,"San Francisco Bay, Central",Detail,-122.31092,37.86226
Alameda,"San Francisco Bay, Central",Emeryville,Last verified >90 days ago,8/1/2023,Marine bloom suspected (red tide),"Marine bloom or “red tide” are suspected in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. Until water monitoring results are provided to confirm presence of red tide in this area, we recommend people and pets avoid contact with the water during times of any water discoloration or dense blooms in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system.",8/1/2023 16:07,4308,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Baykeeper,Alameda,Emeryville,7/30/2023 0:00,,Region 2 - San Francisco Bay,,"San Francisco Bay, Central",Detail,-122.30154,37.84075
Alameda,"San Francisco Bay, Lower",Bay Farm Alameda,Last verified >90 days ago,8/7/2023,Marine bloom suspected (red tide),"Marine bloom or “red tide” are suspected in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. Until water monitoring results are provided to confirm presence of red tide in this area, we recommend people and pets avoid contact with the water during times of any water discoloration or dense blooms in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system.",8/6/2023 19:35,4318,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Alameda,Bay Farm Alameda,8/6/2023 0:00,,Region 2 - San Francisco Bay,,"San Francisco Bay, Lower",Detail,-122.26156,37.74021
Alpine,Bryant Creek,Bryant Creek ~1.2mi below Mountaineer Cr.,Last verified >90 days ago,10/11/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",10/11/2023 9:37,4401,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Alpine,Bryant Creek ~1.2mi below Mountaineer Cr.,9/26/2023 0:00,,Region 6 - Lahontan,,Bryant Creek,Detail,-119.64460,38.75050
Alpine,Forestdale Creek,"Forestdale Creek, upper",Last verified >90 days ago,10/11/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",10/11/2023 9:42,4402,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Alpine,"Forestdale Creek, upper",9/28/2023 0:00,,Region 6 - Lahontan,,Forestdale Creek,Detail,-119.96337,38.67801
